"1","Ley Orgánica de Procesos Electorales (LOPRE)","Esta ley regula y desarrolla los principios constitucionales y los derechos de participación política de los ciudadanos y ciudadanas, en los procesos electorales; así como todas aquellas competencias referidas a los procesos electorales atribuidas por la Constitución de la República  y la ley, al Poder Electoral."
"2","Reglamento General de la LOPRE","Complementa, enmienda y desarrolla los aspectos tratados en la Ley Orgánica de Procesos Electorales"
"3","Reglamento Especial de Campaña para las Elecciones del 16D","Norma aspectos específicos aplicables a la elección de Gobernadores y Diputados a los Consejos Legislativos estadales del 16 de diciembre de 2012"
