"99","9","6","DEMOCRACIA","8.64148","-56.1625"
"100","9","7","FALCON","11.9098","-69.9283"
"101","9","8","FEDERACION","10.8155","-69.6164"
"102","9","9","MAUROA","10.8196","-71.0518"
"103","9","10","MIRANDA","11.3524","-69.8346"
"104","9","11","PETIT","11.1612","-69.5841"
"105","9","12","SILVA","10.7394","-68.327"
"106","9","13","ZAMORA","11.4305","-69.3447"
"107","9","14","DABAJURO","10.9764","-70.6681"
"108","9","15","MONSEÑOR ITURRIZA","10.9997","-68.3404"
"109","9","16","LOS TAQUES","11.7791","-70.2048"
"110","9","17","PIRITU","11.3792","-68.9893"
"111","9","18","UNION","10.8053","-69.2023"
"112","9","19","SAN FRANCISCO","11.1593","-68.7161"
"113","9","20","JACURA","10.9883","-68.8648"
"114","9","21","CACIQUE MANAURE","10.9811","-68.56"
"115","9","22","PALMASOLA","10.6305","-68.5446"
"116","9","23","SUCRE","11.0522","-69.8111"
"117","9","24","URUMACO","11.1136","-70.2828"
"118","9","25","TOCOPERO","11.5019","-69.2578"
"119","10","1","INFANTE","8.84918","-65.9876"
"120","10","2","MELLADO","9.36185","-67.1284"
"121","10","3","MIRANDA","8.99304","-67.3826"
"122","10","4","MONAGAS","9.79043","-66.2942"
"123","10","5","RIBAS","9.43346","-65.702"
"124","10","6","ROSCIO","9.79695","-67.3644"
"125","10","7","ZARAZA","9.41214","-65.3002"
"126","10","8","CAMAGUAN","8.04947","-67.5177"
"127","10","9","SAN JOSE DE GUARIBE","9.83859","-65.8163"
"128","10","10","LAS MERCEDES","8.29626","-66.3027"
"129","10","11","EL SOCORRO","8.99714","-65.7394"
"130","10","12","ORTIZ","9.5772","-67.4902"
"131","10","13","SANTA MARIA DE IPIRE","8.66385","-65.3505"
"132","10","14","CHAGUARAMAS","9.37287","-66.2634"
"133","10","15","SAN GERONIMO DE GUAYABAL","7.97888","-67.1615"
"134","11","1","CRESPO","10.286","-69.1854"
"135","11","2","IRIBARREN","10.0823","-69.3577"
"136","11","3","JIMENEZ","9.88626","-69.5852"
"137","11","4","MORAN","9.62998","-69.9021"
"138","11","5","PALAVECINO","10.0249","-69.2634"
"139","11","6","TORRES","10.0986","-70.1715"
"140","11","7","URDANETA","10.5946","-69.5805"
"141","11","8","ANDRES ELOY BLANCO","9.67692","-69.5318"
"142","11","9","SIMON PLANAS","9.83385","-69.1228"
"143","12","1","ALBERTO ADRIANI","8.63","-71.6396"
"144","12","2","ANDRES BELLO","8.70633","-71.46"
"145","12","3","ARZOBISPO CHACON","8.15793","-71.4502"
"146","12","4","CAMPO ELIAS","8.51296","-71.2729"
"147","12","5","GUARAQUE","8.15257","-71.6725"
"148","12","6","JULIO CESAR SALAS","9.1946","-70.9164"
"149","12","7","JUSTO BRICEÑO","9.08158","-70.9738"
"150","12","8","LIBERTADOR","8.57404","-71.1547"
"151","12","9","SANTOS MARQUINA","8.63126","-71.0741"
"152","12","10","MIRANDA","8.97193","-70.7952"
"153","12","11","ANTONIO PINTO SALINAS","8.43194","-71.6078"
"154","12","12","OBISPO RAMOS DE LORA","8.8287","-71.4629"
"155","12","13","CARACCIOLO PARRA OLMEDO","8.94683","-71.2828"
"156","12","14","CARDENAL QUINTERO","8.8863","-70.6608"
"157","12","15","PUEBLO LLANO","8.93348","-70.6549"
"158","12","16","RANGEL","8.73731","-70.94"
"159","12","17","RIVAS DAVILA","8.2813","-71.8036"
"160","12","18","SUCRE","8.48242","-71.4442"
"161","12","19","TOVAR","8.32819","-71.7514"
"162","12","20","TULIO FEBRES CORDERO","9.09922","-71.0771"
"163","12","21","PADRE NOGUERA","7.7261","-71.4668"
"164","12","22","ARICAGUA","8.18659","-71.1633"
"165","12","23","ZEA","8.41967","-71.7751"
"166","13","1","ACEVEDO","10.2884","-66.3051"
"167","13","2","BRION","10.4541","-66.1567"
"168","13","3","GUAICAIPURO","10.2845","-67.0438"
"169","13","4","INDEPENDENCIA","10.2493","-66.6796"
"170","13","5","LANDER","10.0954","-66.7626"
"171","13","6","PAEZ","10.2692","-65.9518"
"172","13","7","PAZ CASTILLO","10.3032","-66.6828"
"173","13","8","PLAZA","10.4676","-66.6119"
"174","13","9","SUCRE","10.469","-66.7731"
"175","13","10","URDANETA","10.1417","-66.8866"
"176","13","11","ZAMORA","10.4557","-66.4994"
"177","13","12","CRISTOBAL ROJAS","10.2638","-66.8595"
